participant,no_signed_duration,size,direction,correct,contrast,cond,response,log10_duration,duration,trial,session
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,54,1
perc002,0.01648,Small,1,0,Low,control,0,-1.783042792638903,0.0824,55,1
perc002,0.07368,Large,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,56,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,57,1
perc002,0.07368,Small,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,58,1
perc002,0.01648,Large,1,0,High,control,0,-1.783042792638903,0.0824,59,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,60,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,61,1
perc002,0.027144,Large,1,0,Low,control,0,-1.5663261533629387,0.13572,62,1
perc002,0.07368,Large,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,63,1
perc002,0.01648,Small,1,1,High,control,1,-1.783042792638903,0.0824,64,1
perc002,0.027144,Small,-1,1,Low,control,0,-1.5663261533629387,-0.13572,65,1
perc002,0.01648,Small,-1,1,High,control,0,-1.783042792638903,-0.0824,66,1
perc002,0.07368,Small,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,67,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,68,1
perc002,0.04472,Large,1,1,High,control,1,-1.349498205121633,0.2236,69,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,70,1
perc002,0.2,Small,-1,1,Low,control,0,-0.6989700043360187,-1,71,1
perc002,0.01648,Small,-1,0,Low,control,1,-1.783042792638903,-0.0824,72,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,73,1
perc002,0.04472,Large,-1,1,Low,control,0,-1.349498205121633,-0.2236,74,1
perc002,0.01648,Small,-1,1,High,control,0,-1.783042792638903,-0.0824,75,1
perc002,0.027144,Large,1,0,High,control,0,-1.5663261533629387,0.13572,76,1
perc002,0.07368,Large,1,1,High,control,1,-1.1326503828112076,0.36839999999999995,77,1
perc002,0.2,Small,1,1,Low,control,1,-0.6989700043360187,1,78,1
perc002,0.01648,Large,-1,1,High,control,0,-1.783042792638903,-0.0824,79,1
perc002,0.07368,Large,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,80,1
perc002,0.027144,Small,-1,0,Low,control,1,-1.5663261533629387,-0.13572,81,1
perc002,0.01648,Small,-1,0,Low,control,1,-1.783042792638903,-0.0824,82,1
perc002,0.01648,Small,-1,1,Low,control,0,-1.783042792638903,-0.0824,83,1
perc002,0.12139,Small,-1,1,Low,control,0,-0.9158170885795264,-0.60695,84,1
perc002,0.01648,Small,-1,1,High,control,0,-1.783042792638903,-0.0824,85,1
perc002,0.01648,Small,1,1,Low,control,1,-1.783042792638903,0.0824,86,1
perc002,0.2,Large,1,1,Low,control,1,-0.6989700043360187,1,87,1
perc002,0.01648,Large,-1,1,Low,control,0,-1.783042792638903,-0.0824,88,1
perc002,0.01648,Large,-1,0,Low,control,1,-1.783042792638903,-0.0824,89,1
perc002,0.07368,Small,-1,0,Low,control,1,-1.1326503828112076,-0.36839999999999995,90,1
perc002,0.07368,Small,-1,1,High,control,0,-1.1326503828112076,-0.36839999999999995,91,1
perc002,0.12139,Large,-1,1,Low,control,0,-0.9158170885795264,-0.60695,92,1
perc002,0.027144,Small,1,0,Low,control,0,-1.5663261533629387,0.13572,93,1
perc002,0.07368,Large,1,1,Low,control,1,-1.1326503828112076,0.36839999999999995,94,1
perc002,0.027144,Large,1,1,Low,control,1,-1.5663261533629387,0.13572,95,1
